Id,Titulo,Autor,Descripcion,FechaDePublicacion,Calificacion,Stock,Categoria
1,Matar a un ruiseñor,Harper Lee,La novela clásica ganadora del Pulitzer.,11/07/1960,5,50,Ficción
2,Cien años de soledad,Gabriel García Márquez,Una obra maestra del realismo mágico.,30/05/1967,5,75,Ficción
3,1984,George Orwell,Una visión distópica del futuro.,8/06/1949,4,60,Ficción
4,El Gran Gatsby,F. Scott Fitzgerald,La historia de la alta sociedad en la década de 1920.,10/04/1925,4,40,Ficción
5,Matar a un elefante,George Orwell,Un ensayo sobre la experiencia del autor en Birmania.,12/11/1936,3,30,No Ficción
6,En el camino,Jack Kerouac,La novela que definió la Generación Beat.,5/09/1957,4,45,Ficción
7,Mujer en punto cero,Nawal El Saadawi,La historia de una prisionera egipcia.,1/03/1975,4,20,Ficción
8,El camino,Jack London,Una historia de aventuras en el Yukón.,12/09/1903,4,55,Ficción
9,Crimen y castigo,Fyodor Dostoevsky,La lucha de un estudiante contra la moralidad.,12/01/1866,5,35,Ficción
10,Orgullo y prejuicio,Jane Austen,Una historia de amor y prejuicio en la Inglaterra del siglo XIX.,28/01/1813,5,70,Ficción
11,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,La aventura de un caballero y su fiel escudero.,16/01/1605,5,90,Ficción
12,Ulises,James Joyce,Un recorrido literario por un día en la vida de Leopold Bloom.,2/02/1922,4,60,Ficción
13,Matar a un mirlo dorado,Harper Lee,"La secuela del clásico ""Matar a un ruiseñor"".",14/07/2015,4,40,Ficción
14,Los juegos del hambre,Suzanne Collins,Un futuro distópico de lucha por la supervivencia.,14/09/2008,4,55,Ficción
15,Rayuela,Julio Cortázar,Una novela experimental en la que el lector elige su propia lectura.,3/06/1963,5,30,Ficción
16,El nombre de la rosa,Umberto Eco,Un misterio en una abadía medieval.,29/09/1980,5,35,Ficción
17,Código Da Vinci,Dan Brown,Una conspiración que podría cambiar la historia del cristianismo.,18/03/2003,3,65,Ficción
18,Los hombres me explican cosas,Rebecca Solnit,Ensayos feministas sobre la experiencia de las mujeres.,10/05/2014,5,40,No Ficción
19,Sapiens: De animales a dioses,Yuval Noah Harari,Una historia de la humanidad.,10/02/2011,5,75,No Ficción
20,Breve historia del tiempo,Stephen Hawking,La explicación del universo para todos.,1/04/1988,4,25,No Ficción
